68 Calculo_1A 6,9 10.2 
60 Discreta 6,7 10.2 
68 ORG_1 6,0 10.2 
60 GA 6,1 10.2 
34 ICC 8,2 10.2 
34 Calculo_2C 6,1 11.1 
68 Fisica_1 3,15 11.1 
68 Calculo_2A 6,3 11.1 
30 FisExp_1 7,6 11.1 
60 Logica 2,6 11.1 
60 Alg_Linear 6,0 11.1 
102 Prog_1 5,7 11.1 
102 Prog_2 3,9 11.2 
68 Fisica_1 6,5 11.2 
68 Circuitos 6,2 11.2 
68 Calculo_3A 5,95 11.2 
60 Logica 5,75 11.2 
34 LabCircuitos 6,2 11.2 
68 Metodos 6,2 12.1 
102 Prog_2 7,2 12.1 
68 Fisica_2 6,8 12.1 
68 LF 6,0 12.1 
68 ORG_2 5,65 12.2 
68 Prob_E_Est 7,3 12.2 
68 LP 9,4 12.2 
68 ED_1 5,25 12.2 
68 ED_2 9,2 13.1 
68 TPA 7,3 13.1 
68 BD 6,0 13.1 
68 ES_1 6,35 13.1 
68 Compiladores 9,0 13.2 
68 Redes_1 6,7 13.2 
68 SO 6,7 13.2 
180 Estagio 10,0 13.2 
68 APA 0,0 13.2 
68 PC 2,9 13.2 
